serial_num,mac_sta,mac_eth,pop_code,qr_code
001d4bf34698,00:1D:4B:F3:46:98,00:1D:4B:F3:46:9B,6225,"001d4bf34698,00:1D:4B:F3:46:98,00:1D:4B:F3:46:9A,6225"
001d4bf3469c,00:1D:4B:F3:46:9C,00:1D:4B:F3:46:9F,7722,"001d4bf3469c,00:1D:4B:F3:46:9C,00:1D:4B:F3:46:9E,7722"
001d4bf346a0,00:1D:4B:F3:46:A0,00:1D:4B:F3:46:A3,2503,"001d4bf346a0,00:1D:4B:F3:46:A0,00:1D:4B:F3:46:A2,2503"
001d4bf346a4,00:1D:4B:F3:46:A4,00:1D:4B:F3:46:A7,3494,"001d4bf346a4,00:1D:4B:F3:46:A4,00:1D:4B:F3:46:A6,3494"
001d4bf346a8,00:1D:4B:F3:46:A8,00:1D:4B:F3:46:AB,6491,"001d4bf346a8,00:1D:4B:F3:46:A8,00:1D:4B:F3:46:AA,6491"
001d4bf346ac,00:1D:4B:F3:46:AC,00:1D:4B:F3:46:AF,0838,"001d4bf346ac,00:1D:4B:F3:46:AC,00:1D:4B:F3:46:AE,0838"
001d4bf346b0,00:1D:4B:F3:46:B0,00:1D:4B:F3:46:B3,8205,"001d4bf346b0,00:1D:4B:F3:46:B0,00:1D:4B:F3:46:B2,8205"
001d4bf346b4,00:1D:4B:F3:46:B4,00:1D:4B:F3:46:B7,7189,"001d4bf346b4,00:1D:4B:F3:46:B4,00:1D:4B:F3:46:B6,7189"
001d4bf346b8,00:1D:4B:F3:46:B8,00:1D:4B:F3:46:BB,8329,"001d4bf346b8,00:1D:4B:F3:46:B8,00:1D:4B:F3:46:BA,8329"
001d4bf346bc,00:1D:4B:F3:46:BC,00:1D:4B:F3:46:BF,9112,"001d4bf346bc,00:1D:4B:F3:46:BC,00:1D:4B:F3:46:BE,9112"
001d4bf346c0,00:1D:4B:F3:46:C0,00:1D:4B:F3:46:C3,4155,"001d4bf346c0,00:1D:4B:F3:46:C0,00:1D:4B:F3:46:C2,4155"
